Incident_ID,weapontype,City_Lat,City_Lon
19700105DCHIW,Handgun,38.8950368,-77.0365427
19700105DCSOW,Handgun,38.8950368,-77.0365427
19700105DCUNW,Handgun,38.8950368,-77.0365427
19700206OHJOC,Handgun,41.4996574,-81.6936772
19700323CADAL,Handgun,33.7690164,-118.191604
19700415ARPIP,Handgun,34.2157064,-92.0140402
19700422DEPIW,Handgun,39.7459468,-75.546589
19700508FLCAD,Handgun,26.4614625,-80.0728201
19700515UTBEO,Handgun,41.2230048,-111.9738429
19700828TXRIE,Handgun,31.7328638,-106.3728033
19700831FLALM,Rifle,25.7741728,-80.19362
19700914TNHAN,Rifle,36.095567,-86.8011251
19700924IDMEM,Handgun,43.6086295,-116.392326
19700928IACED,No Data,41.5235808,-90.5770967
19701005MIPOD,Handgun,42.3315509,-83.0466403
19701019TNBOM,Handgun,35.1185491,-89.904645
19701020TNWAN,Handgun,36.095567,-86.8011251
19701027OHAPM,Handgun,40.75839,-82.5154471
19701120ILHAC,Handgun,,
19701212WIXAA,Handgun,44.2496103,-88.433855
19710202PAMOP,Handgun,39.9527237,-75.1635262
19710205PAJOW,Handgun,40.705896,-78.003616
19710210TXOAD,Shotgun,32.7810789,-96.690261
19710225OHFRC,Rifle,41.4996574,-81.6936772
19710309AZROT,Handgun,32.3110186,-111.083003
19710405PAWIH,Handgun,40.2663107,-76.8861122
19710527MIBES,Handgun,41.9031963,-85.5356726
19710602NYEAE,Handgun,42.7689141,-78.6177611
19710820PAMOM,Handgun,40.1484053,-79.8878254
19710909TXDUL,Handgun,33.5855677,-101.8470215
19710924NYMCB,Handgun,42.8867166,-78.8783922
19710928MNCEM,No Data,44.9772995,-93.2654692
19710929VAPEP,Handgun,37.227928,-77.4019268
19711028MDCIB,Handgun,39.2908816,-76.610759
19711029MDFOB,Rifle,39.2908816,-76.610759
19711029MDFRB,Handgun,39.2908816,-76.610759
19711103NMCAC,Rifle,32.4257456,-104.237612
19711108OKGRT,Handgun,36.1563122,-95.9927516
19711124MDEDB,Handgun,39.2908816,-76.610759
19711206CALOL,Handgun,34.0536909,-118.242766
19711213MDCAB,Handgun,39.2908816,-76.610759
19720105DCPAW,Handgun,38.8950368,-77.0365427
19720124OHSTS,Handgun,41.1596261,-81.4406258
19720126MDGWB,Handgun,39.2908816,-76.610759
19720126MDHAB,Rifle,39.2908816,-76.610759
19720214ILCAC,Handgun,41.8755616,-87.6244212
19720215ILKEC,Handgun,41.8755616,-87.6244212
19720228CAMAL,Handgun,34.0536909,-118.242766
19720313TXUNH,Handgun,29.8132853,-95.3346658
19720412LAEAG,No Data,30.2385294,-90.9200987
19720504NVLIR,Handgun,39.5261206,-119.8126581
19720505INDEI,Handgun,39.7683331,-86.1583502
19720914TXFRH,Handgun,29.8132853,-95.3346658
19720915MISAS,No Data,,
19720919TXCUH,Handgun,29.7589382,-95.3676974
19720921OHTHA,Handgun,41.083064,-81.518485
19721111CAJEL,No Data,34.0536909,-118.242766
19721127MIPOP,No Data,42.6389216,-83.2910468
19721129FLMIM,No Data,,
19730105NCSOS,Handgun,35.7826363,-80.8872959
19730118CAJOL,Handgun,34.0536909,-118.242766
19730131NCCUB,Handgun,36.0956918,-79.4377991
19730212ALBOM,Handgun,,
19730226VAARR,Handgun,37.5535535,-77.4114918
19730405CALOL,Handgun,34.0536909,-118.242766
19730501OHRAY,Handgun,41.1035786,-80.6520161
19730928CAWIL,Handgun,34.0536909,-118.242766
19731002ILELA,Handgun,38.78421,-89.96538
19731019MOBES,No Data,,
19731023MOSUS,Multiple Unknown,38.6280278,-90.1910154
19731023OHBAB,Handgun,41.012833,-81.6051221
19731024MNCEM,Shotgun,44.9772995,-93.2654692
19731031MONOS,Shotgun,38.6280278,-90.1910154
19731108ILWOC,Handgun,41.8755616,-87.6244212
19731109CALOL,No Data,,
19731206CAFRL,Handgun,34.0536909,-118.242766
19731213OHHUC,Handgun,39.1014537,-84.5124602
19740117ILBAC,Handgun,41.8755616,-87.6244212
19740117ILBAC,Handgun,41.8755616,-87.6244212
19740122CALOL,No Data,34.0536909,-118.242766
19740207CAJAO,Handgun,37.8044557,-122.271356
19740322INBRB,Rifle,38.8789426,-86.0419247
19740402CTSTB,Other,,
19740510TNCHR,Handgun,36.407317,-83.0054423
19740519FLHIO,Rifle,28.5421109,-81.3790304
19740923CAJED,Handgun,37.6904826,-122.47267
19740925CASAL,Handgun,,
19741007LADEH,Handgun,29.9765931,-90.4089708
19741021MDDOB,Handgun,39.2908816,-76.610759
19741118SCCAC,No Data,32.76495449,-79.99217081
19741121ARBOL,Handgun,34.7465071,-92.2896267
19741125SCCAC,Handgun,32.76495449,-79.99217081
19741218CAMAL,Handgun,34.0536909,-118.242766
19741230NYOLO,Multiple Unknown,42.0775022,-78.4298248
19750207NYBOM,Handgun,40.7492678,-73.6406845
19750224NJSTP,Shotgun,39.7295581,-75.4679734
19750312TXJOH,Handgun,,
19750318MOSUS,Unknown,38.6280278,-90.1910154
19750321OHPAD,Handgun,39.7589478,-84.1916069
19750321VAFAR,Rifle,37.5535535,-77.4114918
19750515MOROS,Handgun,38.6280278,-90.1910154
19750527MIPID,Rifle,42.3315509,-83.0466403
19750709ILDEC,No Data,41.8755616,-87.6244212
19750711MOCES,Handgun,38.6280278,-90.1910154
19750911OKGRO,Unknown,35.4729886,-97.5170536
19751001NMHEA,Handgun,32.8423345,-104.4032963
19751024GAMUA,Handgun,33.7489924,-84.3902644
19751218CAORS,Rifle,33.7494951,-117.8732213
19760101AZCAP,Rifle,,
19760123OHCOC,Handgun,39.9622601,-83.0007065
19760206FLESP,No Data,30.421309,-87.2169149
19760212MIMUD,Handgun,42.3315509,-83.0466403
19760412TXODF,Handgun,32.753177,-97.3327459
19760513MOMAS,Handgun,38.6280278,-90.1910154
19760514FLPAW,Handgun,26.715364,-80.0532942
19760602MDMTC,No Data,,
19760920NCGUG,Shotgun,36.0726355,-79.7919754
19761110MIBUD,Handgun,42.3315509,-83.0466403
19761210MOFRS,Handgun,38.6280278,-90.1910154
19770113ILOLB,Handgun,41.6573014,-87.679871
19770209ILFEC,Handgun,41.8755616,-87.6244212
19770228MOROS,No Data,38.6280278,-90.1910154
19770228TXHOA,Handgun,35.2072185,-101.833824
19770308ILCOE,Handgun,38.8114364,-89.953157
19770321NYPAH,Rifle,42.716293,-78.828717
19770407TXWHW,Handgun,33.7375948,-102.3271221
19770418TNPIN,Handgun,36.095567,-86.8011251
19770517FLSTC,Rifle,,
19770622ILHOC,No Data,41.8755616,-87.6244212
19770711COSOC,Handgun,,
19771129MOHAS,Rifle,38.6280278,-90.1910154
19771129MOVAS,No Data,38.6280278,-90.1910154
19771209CAPES,Handgun,38.4404925,-122.7141049
19771212FLWEW,Handgun,28.5656649,-81.5856742
19771215MABLC,No Data,,
19780111KYCHH,Handgun,36.8657651,-87.4889532
19780209WVHAS,Handgun,38.37328,-81.84228
19780222MIEVL,Handgun,42.7337712,-84.5553805
19780309CAMOS,Rifle,38.4404925,-122.7141049
19780329TNGAN,Handgun,36.095567,-86.8011251
19780414MIFOD,Handgun,42.3315509,-83.0466403
19780426TXPAD,Handgun,32.7810789,-96.690261
19780428ILRIN,Handgun,,
19780518TXMUA,Rifle,30.2711286,-97.7436995
19780519PADOP,Rifle,,
19780607DEDOD,Handgun,39.158168,-75.5243682
19780610MAWEW,Handgun,42.2212188,-70.9391625
19781017ALLAL,Handgun,32.8687391,-85.1904971
19781017MOUNU,Handgun,38.6569083,-90.3103443
19781129NYPAN,Handgun,40.7127281,-74.0060152
19781214CTWIN,Handgun,41.3082138,-72.9250518
19790129CAGRS,Rifle,32.7174202,-117.1627728
19790314FLMCM,Handgun,25.7741728,-80.19362
19790328CALOL,Handgun,34.0536909,-118.242766
19790416WIWIM,Shotgun,43.0331896,-88.0160292
19790425PAMAH,Rifle,41.3270244,-75.7732488
19790426TXAZA,Handgun,32.8975875,-97.5437799
19790614OHNEN,Handgun,39.9361699,-84.0254913
19790926LACAN,Handgun,29.951065,-90.071533
19790928MACHC,Rifle,42.3778749,-71.0619957
19791023MOOFS,Handgun,38.6280278,-90.1910154
19791105INWAI,Handgun,39.7683331,-86.1583502
19791130TXUNL,Handgun,33.046233,-96.994174
19791203MDEAB,Handgun,39.2908816,-76.610759
19791221MOBLS,Handgun,38.6280278,-90.1910154
19800107ARSTS,Handgun,33.3654024,-93.4951758
19800129VALAW,Handgun,37.3060705,-76.7518019
19800201DCLAW,Handgun,38.8950368,-77.0365427
19800207TXVAL,Handgun,32.5007031,-94.74049
19800211INARI,Handgun,39.7683331,-86.1583502
19800215MSHUM,Handgun,31.2437872,-90.4531536
19800320TXJLD,Handgun,32.7810789,-96.690261
19800331MDFRB,Handgun,39.2908816,-76.610759
19800417VACAC,Handgun,37.2029182,-75.9571528
19800530NYCLB,Handgun,40.6526006,-73.9497211
19800902CAWHL,Shotgun,34.0536909,-118.242766
19800908FLFOJ,Handgun,30.3321838,-81.655651
19800910DCSPW,Handgun,38.8950368,-77.0365427
19800911ALJOM,Handgun,32.3669656,-86.3006485
19800926CTBRB,Rifle,41.1670412,-73.2048348
19801013ALCET,Handgun,36.3456186,-94.2670404
19801031ALHUH,Handgun,33.4512197,-86.9966606
19801117TXEAF,Handgun,32.753177,-97.3327459
19801212ALPAB,Handgun,33.5206824,-86.8024326
19801212OHLOL,Handgun,41.4673238,-82.1781904
19810121OHWIB,Handgun,41.2456819,-81.8275398
19810122MDFRB,Handgun,39.2908816,-76.610759
19810210ARLIL,Handgun,34.7465071,-92.2896267
19810210CAMAL,Shotgun,34.0536909,-118.242766
19810303INMAI,Handgun,39.7683331,-86.1583502
19810328FLDIF,Handgun,26.1223084,-80.1433786
19810402OHALC,Handgun,41.4996574,-81.6936772
19810407MSPOP,No Data,,
19810515LANEN,Handgun,30.0035365,-91.8187285
19810901PAWIP,Handgun,39.9527237,-75.1635262
19810904NMHOS,Handgun,35.6876096,-105.938456
19810908FLSTW,Handgun,26.715364,-80.0532942
19810913MDABA,Handgun,39.5120347,-76.1643289
19811013CTHAH,Handgun,41.764582,-72.6908547
19811209NYGEB,Handgun,40.6526006,-73.9497211
19811216TXUNH,Handgun,29.7589382,-95.3676974
19811223NYJAB,Handgun,40.6526006,-73.9497211
19820205TNHAM,Handgun,35.1185491,-89.904645
19820208MADOD,Handgun,42.2973205,-71.0744952
19820209LAJON,No Data,29.951065,-90.071533
19820315ORSPS,Handgun,44.0462362,-123.0220289
19820317OHLOL,Handgun,41.4673238,-82.1781904
19820319NVVAL,Handgun,36.1672559,-115.148516
19820407CODEL,Handgun,39.613321,-105.016649
19820415MDFOB,Handgun,39.2908816,-76.610759
19820429GARUE,Rifle,33.6795531,-84.4393724
19820430FLANA,Handgun,30.3202945,-81.5411937
19820527NVGAL,Other,,
19820910VALAB,No Data,38.831813,-77.288755
19820915ARSOP,Handgun,34.2157064,-92.0140402
19821101NYELE,Handgun,40.7076444,-73.7093041
19821108MICOD,Handgun,42.3315509,-83.0466403
19821112MSWIJ,Shotgun,32.2998686,-90.1830408
19821206ALHUH,Handgun,34.729847,-86.5859011
19821220MIFID,Handgun,42.3315509,-83.0466403
19830118TXJOH,Handgun,29.7589382,-95.3676974
19830120MOPAB,Handgun,38.9760794,-92.3467298
19830120MOPAB,Handgun,38.9760794,-92.3467298
19830128MDWIB,Handgun,39.2908816,-76.610759
19830130TXWEC,Handgun,31.7766863,-99.4461098
19830131FLDED,Handgun,29.0283213,-81.3031098
19830201TNRIM,Handgun,35.813606,-86.410831
19830202NMALA,No Data,,
19830331ILSAC,Handgun,41.8755616,-87.6244212
19830421MOBES,No Data,38.6280278,-90.1910154
19830516NYBRN,Rifle,40.7127281,-74.0060152
19830516TXLAD,Handgun,32.7810789,-96.690261
19830518FLNOM,Handgun,25.7741728,-80.19362
19830523OHMAM,Handgun,40.75839,-82.5154471
19830526PAGRJ,Handgun,40.3267407,-78.9219698
19830912CAMAC,Handgun,33.894927,-118.226624
19830912MIHED,Handgun,42.3315509,-83.0466403
19830921MDWAB,Handgun,39.2908816,-76.610759
19830930TXTET,No Data,31.1058315,-97.3556697
19831007CACOL,Handgun,34.0536909,-118.242766
19831022MDCAB,Other,39.2908816,-76.610759
19831108MIHIH,Handgun,42.4055981,-83.0965829
19831117ILJAC,Handgun,41.8755616,-87.6244212
19831118MDHAB,Handgun,39.2908816,-76.610759
19831202INCRC,Handgun,40.0401991,-86.8990249
19831216ILBOR,Handgun,42.2713945,-89.093966
19840105MDLAB,Handgun,39.2908816,-76.610759
19840206KYCEL,Handgun,38.2542376,-85.759407
19840221TXSHH,Handgun,29.7589382,-95.3676974
19840224CA49L,Rifle,34.0536909,-118.242766
19840224CA49L,Shotgun,34.0536909,-118.242766
19840224CA49L,Shotgun,34.0536909,-118.242766
19840405LACLC,Handgun,30.8657362,-91.0156594
19840420MIPRD,Handgun,42.3315509,-83.0466403
19840426NCROW,Handgun,34.735724,-77.9952628
19840515MTCMG,Rifle,47.5048851,-111.29189
19840517IASOP,Handgun,41.5964843,-93.5148963
19840517TXBOH,Handgun,29.7589382,-95.3676974
19840518CANON,Shotgun,33.9323307,-117.5508901
19840522OHCLC,Handgun,41.5200518,-81.556235
19840710MIMUD,No Data,42.3315509,-83.0466403
19840831LABOS,Handgun,32.48086,-93.713856
19840928TXMIH,Rifle,29.7589382,-95.3676974
19840928TXRIN,Multiple Unknown,32.84195,-97.227965
19841021PAWYE,Other,,
19841022MICED,Handgun,42.3315509,-83.0466403
19841024MISOD,Handgun,42.3315509,-83.0466403
19841024OHWEC,Handgun,40.5489358,-84.5702338
19841030SCPEP,Handgun,34.6127814,-82.7840143
19841031LAEAG,Handgun,30.2385294,-90.9200987
19841109CTWIN,Handgun,41.3082138,-72.9250518
19841126MDMIR,Handgun,39.6821264,-76.7646331
19841207MOEDS,Multiple Unknown,38.6280278,-90.1910154
19850118TXARA,Shotgun,32.7355816,-97.1071186
19850121KSGOG,Handgun,37.6597363,-97.5753256
19850121KSGOG,Rifle,37.6597363,-97.5753256
19850126MASTB,Handgun,42.3554334,-71.060511
19850205CTAIH,Handgun,41.764582,-72.6908547
19850416TXMAA,Handgun,29.8998769,-95.3373683
19850516FLPAB,Handgun,27.3323631,-80.389043
19850724TXHIH,Handgun,32.8334607,-96.7919454
19850904VAEAR,Handgun,37.5535535,-77.4114918
19850909TXWHH,Handgun,29.7589382,-95.3676974
19850920TXLAC,Handgun,29.879041,-95.675401
19850925OHTRT,Handgun,39.7972788,-84.3113334
19851008MDLAB,Handgun,39.2908816,-76.610759
19851018MIMUD,Shotgun,,
19851022OHSOG,Handgun,38.8645138,-83.9040944
19851126WASPS,Rifle,47.113918,-122.429692
19851127ALCHB,Handgun,33.5206824,-86.8024326
19851203NHCOC,Shotgun,43.207178,-71.537476
19851209PAARP,Other,39.9527237,-75.1635262
19851210CTPOP,Handgun,41.5728924,-72.6406905
19860109NCNOD,Handgun,35.996653,-78.9018053
19860117CAVAL,Handgun,34.0536909,-118.242766
19860129MDLAB,Handgun,39.2908816,-76.610759
19860224LABOS,Handgun,30.2751945,-89.7811745
19860306ILTHD,Handgun,41.6389236,-87.607268
19860423FLCHM,Handgun,25.7741728,-80.19362
19860429MOSES,Shotgun,36.1342336,-90.1598183
19860509NCPIF,Handgun,35.0525759,-78.878292
19860515GACAA,Rifle,33.7489924,-84.3902644
19860517TNMAN,Handgun,36.095567,-86.8011251
19860912CAFAL,Handgun,34.0536909,-118.242766
19860918CABEB,Handgun,38.049365,-122.1585777
19861003CAMOM,Handgun,34.1483499,-118.0014517
19861008TXSOD,Handgun,32.7810789,-96.690261
19861204MTFEL,No Data,47.0639275,-109.428213
19870114CALOL,Handgun,34.0536909,-118.242766
19870123MIRED,No Data,42.3315509,-83.0466403
19870210ARDAD,Rifle,34.5038393,-93.0552437
19870213AZORM,Multiple Unknown,34.4263875,-112.2367232
19870224NYMON,Handgun,40.9115386,-73.7826363
19870302MODED,Handgun,39.5869398,-94.9252426
19870306TXRIE,No Data,31.7328638,-106.3728033
19870330CAPAS,Handgun,33.7494951,-117.8732213
19870416MIMUD,Handgun,42.3315509,-83.0466403
19870430ORGRP,Handgun,45.5202471,-122.674194
19870503INPII,Handgun,39.7683331,-86.1583502
19870506ARMAJ,Handgun,34.7465071,-92.2896267
19870506FLLET,Handgun,27.9477595,-82.458444
19870513ILOAO,Handgun,41.7108662,-87.7581081
19870928ILILL,Handgun,,
19871014ILDUC,Handgun,,
19871030NCSOK,Handgun,,
19871104MISOD,Handgun,42.3315509,-83.0466403
19871114FLCLC,Handgun,27.9658533,-82.8001026
19871130TXPES,Handgun,29.4195889,-98.6401832
19871202FLENJ,Handgun,,
19871204NYEAN,Handgun,40.7127281,-74.0060152
19871215NYGRB,No Data,40.5796437,-73.9611102
19871216TXMAK,Handgun,,
19880105PASPS,Handgun,39.9306677,-75.3201879
19880106FLGAT,Handgun,27.9477595,-82.458444
19880108PACRM,Handgun,,
19880120LASIR,Handgun,32.5232053,-92.637927
19880129TXREA,No Data,30.2711286,-97.7436995
19880202ALWET,Multiple Unknown,33.2095614,-87.5675258
19880211FLPIL,Handgun,27.9094665,-82.7873244
19880211FLPIL,Handgun,27.9094665,-82.7873244
19880226RIBRB,Handgun,41.7034082,-71.2844401
19880304MILED,No Data,42.3315509,-83.0466403
19880323CACAS,No Data,,
19880324TXTRA,Other,,
19880505ILMAC,Handgun,41.8755616,-87.6244212
19880516FLFOF,Handgun,26.640628,-81.8723084
19880520ILHUW,Handgun,42.1080703,-87.7365286
19880520ILHUW,Handgun,42.1080703,-87.7365286
19880520ILHUW,Handgun,42.1080703,-87.7365286
19880531NYPUB,No Data,40.8466508,-73.8785937
19880602MSWIJ,Handgun,32.2998686,-90.1830408
19880617MIJOD,Handgun,42.3315509,-83.0466403
19880630HIAIO,Handgun,21.4834364,-158.0364837
19880710WISIM,Other,43.0506338,-87.9307113
19880711MSLAJ,Handgun,32.2998686,-90.1830408
19880831MICED,Handgun,42.3315509,-83.0466403
19880831SCWEA,Handgun,34.495738,-82.665162
19880902GAGLA,Handgun,33.4709714,-81.9748429
19880902NCGAC,Handgun,35.2272086,-80.8430827
19880903TXLID,Handgun,32.7810789,-96.690261
19880922ILMOC,Handgun,41.8755616,-87.6244212
19880926SCOAG,Handgun,34.2303647,-82.1772586
19881003FLMAM,Rifle,,
19881004FLJEJ,Handgun,30.3321838,-81.655651
19881004LAISB,No Data,30.4494155,-91.1869659
19881005MDEDB,Handgun,39.2908816,-76.610759
19881006ALMOM,Handgun,30.6913462,-88.0437509
19881007MDSOB,Handgun,39.2908816,-76.610759
19881007TXDIP,Handgun,29.8988618,-93.9288723
19881101FLPAJ,Handgun,30.3321838,-81.655651
19881107UTGLS,Handgun,,
19881122TXABA,Handgun,32.44645,-99.7475905
19881216VAATV,Handgun,36.7829597,-76.1436111
19890105ARHEL,Handgun,34.7465071,-92.2896267
19890117CACLS,Handgun,37.9577016,-121.2907796
19890117CACLS,Rifle,37.9577016,-121.2907796
19890126DCWOW,Handgun,38.8950368,-77.0365427
19890210UTTHK,Handgun,40.6528603,-112.0046186
19890303INWIG,Handgun,41.6020962,-87.3370647
19890426TXAMD,Handgun,32.7810789,-96.690261
19890911AZDYE,Handgun,33.6130338,-112.324486
19890918KYJAM,Shotgun,37.430364,-83.9979834
19891005CALOA,Handgun,33.8347516,-117.911732
19891005CALOA,Shotgun,33.8347516,-117.911732
19891031TXOLD,Other,32.7810789,-96.690261
19891113NYALN,Handgun,40.7127281,-74.0060152
19891115TXWOA,Handgun,32.7355816,-97.1071186
19891122CACHO,Handgun,34.1976308,-119.1803818
19891204LACAS,No Data,32.48086,-93.713856
19891205PASEM,Handgun,40.3478472,-79.864215
19891205TXWWD,Handgun,32.7810789,-96.690261
19891212SCCHC,Handgun,34.6898665,-81.2068057
19900116RICEP,No Data,41.8239891,-71.4128343
19900220OHTAC,Handgun,39.1014537,-84.5124602
19900327NYNEB,Handgun,40.6526006,-73.9497211
19900403TXSKD,Handgun,32.7810789,-96.690261
19900504CAMOE,Handgun,37.3361663,-121.890591
19900520TNHIC,No Data,35.809348,-87.430054
19900531TXSUF,Handgun,32.753177,-97.3327459
19900824NCMYC,Handgun,,
19900827NVELL,Handgun,36.1672559,-115.148516
19900827TXWHD,Handgun,32.7476761,-96.8205751
19900911TXSAS,Handgun,29.4195889,-98.6401832
19900922ALLEB,Handgun,,
19901002TXWHD,Handgun,32.7476761,-96.8205751
19901029INCHC,Handgun,38.45312,-85.6702407
19901030TXNAG,Handgun,32.912624,-96.6388833
19901213LASAS,No Data,30.2751945,-89.7811745
19910108TXRIR,Handgun,32.9481789,-96.7297206
19910117TXHOD,Handgun,32.7476761,-96.8205751
19910219LABON,Handgun,29.951065,-90.071533
19910313ALSES,Handgun,33.3967079,-86.1597137
19910314SCWOP,No Data,34.6888725,-82.356973
19910325NCGAC,No Data,35.2272086,-80.8430827
19910411SCNOR,Handgun,34.949602,-81.0807463
19910423CARAC,No Data,33.894927,-118.226624
19910423MSHUB,Handgun,33.1842912,-90.4892563
19910510OHFRC,Handgun,39.9622601,-83.0007065
19910516KSCOK,Rifle,,
19910521CAROS,Handgun,34.1508718,-118.448986
19910521FLSCP,Handgun,26.8200607,-80.6653351
19910722CAWEL,Handgun,34.0536909,-118.242766
19910730CAENC,Handgun,33.894927,-118.226624
19910913TXMAH,Handgun,29.7589382,-95.3676974
19910917ILWOC,Handgun,41.8755616,-87.6244212
19910918TXCRC,Handgun,33.5778818,-101.2855737
19911002TXSPH,Handgun,29.7589382,-95.3676974
19911004CADOL,Handgun,34.0536909,-118.242766
19911004CAROL,Handgun,,
19911009NYJAB,Handgun,40.8466508,-73.8785937
19911011MAMAR,Handgun,42.3248426,-71.0950158
19911015NHMOS,Rifle,42.8742651,-72.2815335
19911015SCWOW,Handgun,34.7323272,-82.0231634
19911015TXGEP,Rifle,29.6910753,-95.2092076
19911023TXOAD,Handgun,32.7476761,-96.8205751
19911106LAWAN,Handgun,29.951065,-90.071533
19911111TXYSE,Handgun,,
19911114TXMIH,Handgun,,
19911125NYTHB,Handgun,40.6526006,-73.9497211
19911226NCWHW,Handgun,34.3387802,-78.7030721
19920128LAFRG,Handgun,30.0156248,-90.0518356
19920131LAFRG,Handgun,30.0156248,-90.0518356
19920206OKDOO,No Data,35.4729886,-97.5170536
19920207VABON,Handgun,36.8448348,-76.2863999
19920226NYTHB,Handgun,40.6526006,-73.9497211
19920305OHHAO,Handgun,39.8789527,-82.9507363
19920331LAOPA,Handgun,29.9413467,-90.0375901
19920409FLFOF,Handgun,26.640628,-81.8723084
19920417TXLID,No Data,32.7476761,-96.8205751
19920501CALIO,Rifle,39.0954484,-121.5521858
19920501CALIO,Shotgun,39.0954484,-121.5521858
19920514CASIN,Handgun,,
19920514TXHUH,Handgun,30.7235263,-95.5507771
19920529CAVEL,No Data,34.0536909,-118.242766
19920606CAMEM,Handgun,37.1641544,-120.7678602
19920911TXPAA,Handgun,35.2072185,-101.833824
19920928CAHIS,Handgun,38.5810606,-121.493895
19920930TXHOH,Shotgun,29.7589382,-95.3676974
19921013AZDET,Handgun,32.3110186,-111.083003
19921019NYEVB,Rifle,40.8466508,-73.8785937
19921104MIFID,Multiple Unknown,42.3315509,-83.0466403
19921104MIMAD,No Data,,
19921104MIMUD,Handgun,,
19921110ILSHC,Handgun,41.8755616,-87.6244212
19921113TXLAC,Handgun,29.879041,-95.675401
19921116ALFAB,Handgun,33.5206824,-86.8024326
19921120ILTIC,Handgun,41.8755616,-87.6244212
19921124ALROM,Handgun,32.3669656,-86.3006485
19921130ILORC,Handgun,41.8755616,-87.6244212
19921203ILWOC,Handgun,41.8755616,-87.6244212
19921214NYWAW,Handgun,42.1695296,-75.1293351
19930105NYBRB,No Data,40.7812093,-73.2462273
19930112FLNOM,Handgun,25.7741728,-80.19362
19930118KYEAG,Handgun,37.4537437,-86.3389464
19930121CAFAL,Handgun,34.0536909,-118.242766
19930201NYAMA,Handgun,40.6789893,-73.4170673
19930201WARER,No Data,47.6896346,-122.1181146
19930204GACLA,Handgun,33.7489924,-84.3902644
19930208DCWAW,Handgun,38.8950368,-77.0365427
19930208MNMIM,Rifle,48.4343071,-96.1640721
19930222CAREL,Handgun,34.0536909,-118.242766
19930226MAGLG,No Data,42.6159286,-70.6619888
19930308VADOD,Handgun,37.1291545,-76.5371893
19930318GAHAH,Handgun,33.4145834,-82.3126237
19930325MOSUS,Handgun,38.6280278,-90.1910154
19930403CAGRS,Shotgun,,
19930415MAFOA,Shotgun,41.6806593,-70.907816
19930416CAGRS,Handgun,,
19930416WAMOT,Handgun,47.1894671,-122.5010408
19930514TXNII,Handgun,32.8295183,-96.9442177
19930524PAUPP,Handgun,40.3909328,-75.4921249
19930527LAFRN,Handgun,29.951065,-90.071533
19930707CADOL,Handgun,34.0536909,-118.242766
19930803NYTHN,Handgun,40.7127281,-74.0060152
19930831GAHAA,Handgun,33.7489924,-84.3902644
19930901KSJUJ,Handgun,39.0286093,-96.8313978
19930902TXROD,Handgun,32.7810789,-96.690261
19930916ILROC,No Data,,
